,meaning1,meaning2,meaning1_clean,meaning2_clean,realizations
1794,"to beat, hit",to attack,to beat or hit,to attack,5
1795,"to beat, hit",to be alike,to beat or hit,to be alike,3
1796,"to beat, hit",to be at war,to beat or hit,to be at war,1
1797,"to beat, hit",to be surprised,to beat or hit,to be surprised,5
1798,"to beat, hit",to bite,to beat or hit,to bite,3
1799,"to beat, hit",to break (tr.),to beat or hit,to break ,5
1800,"to beat, hit","to castrate, geld",to beat or hit,to castrate or geld,2
1801,"to beat, hit",to correspond,to beat or hit,to correspond,1
1802,"to beat, hit",to cough,to beat or hit,to cough,2
1803,"to beat, hit",to cut (tr.),to beat or hit,to cut ,1
1804,"to beat, hit",to drink,to beat or hit,to drink,6
1805,"to beat, hit",to felt,to beat or hit,to felt,6
1806,"to beat, hit",to flow,to beat or hit,to flow,1
1807,"to beat, hit",to forge,to beat or hit,to forge,5
1808,"to beat, hit",to kill,to beat or hit,to kill,18
1809,"to beat, hit","to mix, stir",to beat or hit,to mix or stir,1
1810,"to beat, hit",to move quickly,to beat or hit,to move quickly,2
1811,"to beat, hit",to play (a musical instrument),to beat or hit,to play a musical instrument,12
1812,"to beat, hit",to sleep,to beat or hit,to sleep,2
1813,"to beat, hit",to sound,to beat or hit,to sound,2
1814,"to beat, hit",to spawn,to beat or hit,to spawn,1
1815,"to beat, hit",to speak,to beat or hit,to speak,2
1816,"to beat, hit",to steal,to beat or hit,to steal,4
1817,"to beat, hit",to tell lie,to beat or hit,to tell lie,3
1818,"to beat, hit",to understand,to beat or hit,to understand,1
1819,"to beat, hit","to walk, wander",to beat or hit,to walk or wander,1
1820,"to beat, hit",to wash (clothes),to beat or hit,to wash clothes,2
1821,"to beat, hit",to win,to beat or hit,to win,16
1822,to become,"can, to be able",to become,can or to be able,2
1823,to become curved,to be angry,to become curved,to be angry,1
1824,to become deaf,to fail (of engine),to become deaf,to fail of engine,1
1825,to become dumb,to grow numb,to become dumb,to grow numb,1
1826,to become visible,to come,to become visible,to come,1
1827,to believe,to trust,to believe,to trust,3
1828,to bend,to deceive,to bend,to deceive,2
1829,to bend,to subjugate,to bend,to subjugate,2
1830,to bend,"to swear, curse",to bend,to swear or curse,1
1831,"to bend, bow (intr.)",tender (adj.),to bend or bow in,tender ,1
1832,"to bend, bow (intr.)",to be disposed towards,to bend or bow in,to be disposed towards,5
1833,"to bend, bow (intr.)",to decline from the route,to bend or bow in,to decline from the route,1
1834,"to bend, bow (intr.)",to obey,to bend or bow in,to obey,2
1835,to bind,to depend,to bind,to depend,1
1836,to bind,to enter into a contract,to bind,to enter into a contract,1
1837,to bind,to oblige,to bind,to oblige,2
1838,to bite,part,to bite,part,1
1839,to bite,to grieve (tr.),to bite,to grieve ,1
1840,to bite,to quarrel,to bite,to quarrel,2
1841,to blossom,to get mouldy (musty),to blossom,to get moldy musty,2
1842,to blossom,to succeed,to blossom,to succeed,11
1843,to blow,"to beat, hit",to blow,to beat or hit,1
1844,to blow,to deceive,to blow,to deceive,1
1845,to blow,to speak,to blow,to speak,3
1846,to blow,to spread (intr.),to blow,to spread in,1
1847,to blow off,to cancel,to blow off,to cancel,1
1848,to boil (intr.),"spring, fountain",to boil in,spring or fountain,1
1849,to boil (intr.),to be angry,to boil in,to be angry,8
1850,to boil (intr.),"to ferment, yeast",to boil in,to ferment or yeast,9
1851,to boil (intr.),to grow (plants),to boil in,to grow plants,1
1852,to boil (intr.),"to worry, be agitated",to boil in,to worry or be agitated,14
1853,"to braid, plait, weave",to copulate,to braid or plait or weave,to copulate,1
1854,"to braid, plait, weave",to tell lie,to braid or plait or weave,to tell lie,10
1855,to break (intr.),to be satisfied (sexually),to break in,to be satisfied sexually,1
1856,to break (tr.),split (gymnastics),to break ,split gymnastics,1
1857,to break (tr.),to ache,to break ,to ache,4
1858,to break (tr.),to be reluctant,to break ,to be reluctant,1
1859,to break (tr.),to change money,to break ,to change money,6
1860,to break (tr.),to confess,to break ,to confess,2
1861,to break (tr.),to depress,to break ,to depress,1
1862,to break (tr.),to dilute,to break ,to dilute,1
1863,to break (tr.),to divide into several parts,to break ,to divide into several parts,4
1864,to break (tr.),to fold (cloth),to break ,to fold cloth,1
1865,to break (tr.),to plough,to break ,to plow,1
1866,to break (tr.),to refute,to break ,to refute,1
1867,to break (tr.),"to slake (hunger, thirst)",to break ,to slake hunger or thirst,1
1868,to break (tr.),to stop doing smth.,to break ,to stop doing ,2
1869,to break (tr.),to subjugate,to break ,to subjugate,2
1870,to break (tr.),to win,to break ,to win,4
1871,to breathe,to rest,to breathe,to rest,19
1872,to breathe,wind,to breathe,wind,6
1873,to breathe heavily,to be ill,to breathe heavily,to be ill,1
1874,to bridle,to subjugate,to bridle,to subjugate,10
1875,to bring,to give birth,to bring,to give birth,7
1876,to bring,to sacrifice (relig.),to bring,to sacrifice ,1
1877,to burn (intr.),angry,to burn in,angry,9
1878,to burn (intr.),passionate,to burn in,passionate,1
1879,to burn (intr.),to be poisoned by fumes,to burn in,to be poisoned by fumes,1
1880,to burn (intr.),to fail,to burn in,to fail,1
1881,to burn (intr.),to grieve (intr.),to burn in,to grieve in,5
1882,to burn (intr.),to incur losses,to burn in,to incur losses,4
1883,to burn (intr.),to itch,to burn in,to itch,1
1884,to burn (intr.),to ripen,to burn in,to ripen,1
1885,to burn (intr.),to suffer,to burn in,to suffer,2
1886,to burn (tr.),frost,to burn ,frost,3
1887,"to burst, break",to die,to burst or break,to die,2
1888,"to burst, break",to get angry,to burst or break,to get angry,1
1889,to bury,"to destroy, annihilate",to bury,to destroy or annihilate,1
1890,to buy,to bribe,to buy,to bribe,1
1891,"to cackle, to cluck",to speak,to cackle or to cluck,to speak,1
1892,"to calculate, count",to have opinion,to calculate or count,to have opinion,40
1893,"to calculate, count",to take into account,to calculate or count,to take into account,11
1894,"to calculate, count",to tell,to calculate or count,to tell,7
1895,"to call (somebody), to call for",to cost,to call somebody or to call for,to cost,1
1896,"to call (somebody), to call for",to make a telephone call,to call somebody or to call for,to make a telephone call,4
1897,"to call (somebody), to call for",to name,to call somebody or to call for,to name,19
1898,to calm down,to pay,to calm down,to pay,1
1899,to carry,pregnant,to carry,pregnant,4
1900,to carry,to endure,to carry,to endure,11
1901,to carry,to lose,to carry,to lose,1
1902,"to castrate, geld",fat (adj.)(of a person),to castrate or geld,fat of a person,1
1903,to catch,to hunt,to catch,to hunt,2
1904,to catch up,to find,to catch up,to find,1
1905,to catch up,to understand,to catch up,to understand,3
1906,"to cause to want, desire",necessary,to cause to want or desire,necessary,1
1907,to change (tr.),to be unfaithful (to one's husband or wife),to change ,to be unfaithful to one's husband or wife,1
1908,to change (tr.),to distract,to change ,to distract,1
1909,to change (tr.),to shed hair or feathers,to change ,to shed hair or feathers,1
1910,to change money,to change (tr.),to change money,to change ,1
1911,"to check, test",to feel (an emotion),to check or test,to feel an emotion,2
1912,"to check, test","to fit, try on",to check or test,to fit or try on,2
1913,to chew,to explain,to chew,to explain,2
1914,to chew,to ignore,to chew,to ignore,1
1915,to chew,to oppress,to chew,to oppress,1
1916,to chew,to think,to chew,to think,1
1917,to choke,to vomit,to choke,to vomit,1
1918,to choose,good,to choose,good,1
1919,to clean,to baptize,to clean,to baptize,1
1920,to clean,"to castrate, geld",to clean,to castrate or geld,2
1921,to clean,"to cure, treat (medically)",to clean,to cure or treat medically,1
1922,to clean,to deceive,to clean,to deceive,1
1923,to clean,"to destroy, annihilate",to clean,to destroy or annihilate,1
1924,to clean,to investigate,to clean,to investigate,1
1925,to clean,to steal,to clean,to steal,2
1926,to clench fist,to roll up a trunk (of elephant),to clench fist,to roll up a trunk of elephant,1
1927,to close one's eyes,to die,to close one's eyes,to die,2
1928,to close one's eyes,to ignore,to close one's eyes,to ignore,1
1929,to clothe,to saddle,to clothe,to saddle,1
1930,to come,must,to come,must,1
1931,to come,to begin,to come,to begin,12
1932,to come,"to get, obtain",to come,to get or obtain,3
1933,to come,to happen,to come,to happen,3
1934,to come,to reach a state,to come,to reach a state,2
1935,to come,to ripen,to come,to ripen,1
1936,to come,to think,to come,to think,2
1937,to conjure,"to charm, to delight",to conjure,to charm or to delight,16
1938,to contain,to remember,to contain,to remember,2
1939,to cool down (intr.),to calm down,to cool down in,to calm down,11
1940,to cool down (intr.),to die,to cool down in,to die,1
1941,to copulate,to deceive,to copulate,to deceive,1
1942,to correct,"to cure, treat (medically)",to correct,to cure or treat medically,1
1943,to cough,to fear,to cough,to fear,1
1944,to cover,to copulate,to cover,to copulate,3
1945,to crackle,cartilage,to crackle,cartilage,2
1946,to crawl,snake,to crawl,snake,1
1947,to crawl,to be torn,to crawl,to be torn,1
1948,to croak,to predict misfortune,to croak,to predict misfortune,1
1949,to cut (tr.),poor,to cut ,poor,1
1950,to cut (tr.),quick,to cut ,quick,1
1951,to cut (tr.),spicy,to cut ,spicy,1
1952,to cut (tr.),to begin (tr.),to cut ,to begin ,1
1953,to cut (tr.),"to calculate, count",to cut ,to calculate or count,2
1954,to cut (tr.),to copulate,to cut ,to copulate,1
1955,to cut (tr.),to cut off relationships,to cut ,to cut off relationships,2
1956,to cut (tr.),to decide,to cut ,to decide,14
1957,to cut (tr.),to dilute,to cut ,to dilute,5
1958,to cut (tr.),to hinder,to cut ,to hinder,2
1959,to cut (tr.),to kill,to cut ,to kill,1
1960,to cut (tr.),to stop doing smth.,to cut ,to stop doing ,7
1961,to cut (tr.),to touch,to cut ,to touch,1
1962,to cut (tr.),to turn sour,to cut ,to turn sour,1
1963,to cut (tr.),to understand,to cut ,to understand,1
1964,to cut (tr.),"to weaken, loosen",to cut ,to weaken or loosen,1
1965,to decline from the route,to tell lie,to decline from the route,to tell lie,1
1966,"to decorticate, debark","to skin, flay",to stiff or debark,to skin or flay,3
1967,to defecate,to slander,to defecate,to slander,2
1968,to defecate,to waste,to defecate,to waste,1
1969,to deprive,to steal,to deprive,to steal,1
1970,"to destroy, annihilate",fighter plane,to destroy or annihilate,fighter plane,1
1971,"to destroy, annihilate",to blunt,to destroy or annihilate,to blunt,1
1972,"to destroy, annihilate",to forgive,to destroy or annihilate,to forgive,1
1973,to die,eclipse,to die,eclipse,3
1974,to die,paralyzed,to die,paralyzed,1
1975,to die,to abate (about wind),to die,to abate about wind,1
1976,to die,to be extinguished (light),to die,to be extinguished light,1
1977,to die,to fail (of engine),to die,to fail of engine,1
1978,to die,to grow numb,to die,to grow numb,3
1979,to die,to set (of heavenly bodies),to die,to set of heavenly bodies,1
1980,to die,to spoil (intr.),to die,to spoil in,1
1981,to die,to stop doing smth.,to die,to stop doing ,1
1982,to die,to want,to die,to want,4
1983,to dig,to find,to dig,to find,2
1984,to dig,"to go, walk",to dig,to go or walk,1
1985,to dig,to kick,to dig,to kick,9
1986,to dig,to thrust (into),to dig,to thrust into,1
1987,to dilute,to deceive,to dilute,to deceive,1
1988,to disappear,to decide,to disappear,to decide,1
1989,to disappear,to die,to disappear,to die,4
1990,to disappear,to spoil (intr.),to disappear,to spoil in,1
1991,to dislocate (of a joint),to go mad,to dislocate of a joint,to go mad,1
1992,to dissolve in liquid (tr.),to solve (a problem),to dissolve in liquid ,to solve a problem,7
1993,to divide into several parts,to analyse,to divide into several parts,to analyze,2
1994,to do,to copulate,to do,to copulate,5
1995,to do,to cost,to do,to cost,1
1996,to drag,"to charm, to delight",to drag,to charm or to delight,6
1997,to drag,to steal,to drag,to steal,7
1998,to draw water,to imitate,to draw water,to imitate,3
1999,to drill,pain,to drill,pain,1
2000,to drink,to smoke (tobacco),to drink,to smoke tobacco,6
2001,"to drive, to force to move on","to distill, retort",to drive or to force to move on,to distill or retort,1
2002,"to drive, to force to move on",to drive (the car),to drive or to force to move on,to drive the car,6
2003,"to drive, to force to move on",to raft timber,to drive or to force to move on,to raft timber,1
2004,"to drive, to force to move on","to search, to look for",to drive or to force to move on,to search or to look for,1
2005,"to drive, to force to move on",to tell lie,to drive or to force to move on,to tell lie,2
2006,to drop (of liquid),"to accuse, blame",to drop of liquid,to accuse or blame,2
2007,to dye,to boast,to dye,to boast,2
2008,to eat,to ache,to eat,to ache,2
2009,to eat,to be fed up with,to eat,to be fed up with,2
2010,to eat,to consume,to eat,to consume,2
2011,to eat,to corrode,to eat,to corrode,3
2012,to eat,"to destroy, annihilate",to eat,to destroy or annihilate,2
2013,to eat,to think,to eat,to think,1
2014,to emit smoke,censer,to emit smoke,censer,1
2015,to emit smoke,to smoke (meat or fish),to emit smoke,to smoke meat or fish,4
2016,to emit smoke,to smoke (tobacco),to emit smoke,to smoke tobacco,11
2017,"to encircle, surround",to understand,to encircle or surround,to understand,1
2018,"to end, finish",to die,to end or finish,to die,8
2019,"to end, finish",to kill,to end or finish,to kill,11
2020,to enter,to become infected,to enter,to become infected,1
2021,to enter,to begin (tr.),to enter,to begin ,3
2022,to enter,to cost,to enter,to cost,1
2023,to enter,"to fall (of rain, snow)",to enter,to fall of rain or snow,2
2024,to enter,to flow into,to enter,to flow into,2
2025,to enter,to shrink (of textile),to enter,to shrink of textile,1
2026,to extinguish,to close one's eyes,to extinguish,to close one's eyes,1
2027,to extinguish,"to destroy, annihilate",to extinguish,to destroy or annihilate,6
2028,to fall asleep,to be extinguished (light),to fall asleep,to be extinguished light,2
2029,to fall asleep,to die,to fall asleep,to die,6
2030,to fall asleep,to go out (of fire),to fall asleep,to go out of fire,1
2031,to fall asleep,to grow numb,to fall asleep,to grow numb,11
2032,to fall asleep,to ice over,to fall asleep,to ice over,2
2033,to fall down,autumn,to fall down,autumn,1
2034,to fall down,cheap,to fall down,cheap,3
2035,to fall down,to attack,to fall down,to attack,4
2036,to fall down,to be born,to fall down,to be born,1
2037,to fall down,to be keen of,to fall down,to be keen of,4
2038,to fall down,to be related to,to fall down,to be related to,1
2039,to fall down,to be solved,to fall down,to be solved,1
2040,to fall down,to begin (tr.),to fall down,to begin ,1
2041,to fall down,to coincide,to fall down,to coincide,10
2042,to fall down,to come,to fall down,to come,1
2043,to fall down,to decrease drastically,to fall down,to decrease drastically,15
2044,to fall down,to die,to fall down,to die,24
2045,to fall down,"to end, finish",to fall down,to end or finish,1
2046,to fall down,"to fade, lose colour",to fall down,to fade or lose color,2
2047,to fall down,to fail,to fall down,to fail,7
2048,to fall down,"to fall (of rain, snow)",to fall down,to fall of rain or snow,11
2049,to fall down,to fall to one's lot,to fall down,to fall to one's lot,1
2050,to fall down,to flow into,to fall down,to flow into,7
2051,to fall down,to happen,to fall down,to happen,10
2052,to fall down,"to lie prostrate, as in reverence",to fall down,to lie prostrate or as in reverence,1
2053,to fall down,to meet accidentally,to fall down,to meet accidentally,1
2054,to fall down,to set (of heavenly bodies),to fall down,to set of heavenly bodies,8
2055,to fall down,to strike (of lightning),to fall down,to strike of lightning,4
2056,to fall down,to suit (of clothes),to fall down,to suit of clothes,4
2057,to fear,to turn sour,to fear,to turn sour,1
2058,to feed,to bribe,to feed,to bribe,1
2059,to feed,to bring up,to feed,to bring up,10
2060,to feed,"to gas (a car), to refuel",to feed,to gas a car or to refuel,1
2061,to feel,to feel sorry,to feel,to feel sorry,1
2062,to feel,to hear / to listen,to feel,to hear  or  to listen,15
2063,to feel,to perceive smell,to feel,to perceive smell,2
2064,to feel pity,to be greedy,to feel pity,to be greedy,5
2065,to feel pity,to regret,to feel pity,to regret,2
2066,to feel pity,"to spare, to economize",to feel pity,to spare or to economize,2
2067,to fence,to defend,to fence,to defend,2
2068,"to fight, scuffle",to copulate,to fight or scuffle,to copulate,1
2069,to fill (tr.),pregnant,to fill ,pregnant,1
2070,to fill (tr.),to become infected,to fill ,to become infected,1
2071,to fill (tr.),to carry out,to fill ,to carry out,11
2072,to fill (tr.),"to end, finish",to fill ,to end or finish,1
2073,to find,to give birth,to find,to give birth,2
2074,to find,to have opinion,to find,to have opinion,11
2075,to find,"to learn, find out",to find,to learn or find out,1
2076,to find,to meet,to find,to meet,6
2077,to find,to reach,to find,to reach,1
2078,to fish,to flirt,to fish,to flirt,1
2079,to float,cheerful mood,to float,cheerful mood,1
2080,to float,"to move smoothly, gently",to float,to move smoothly or gently,2
2081,to float,to pass (of time),to float,to pass of time,1
2082,to float,"to recall, recollect",to float,to recall or recollect,1
2083,to float,to sway,to float,to sway,1
2084,to flow,electricity,to flow,electricity,8
2085,to flow,meteor shower,to flow,meteor shower,1
2086,to flow,to crawl,to flow,to crawl,2
2087,to flow,to pass (of time),to flow,to pass of time,5
2088,to fly,quick,to fly,quick,1
2089,to fly,to break down,to fly,to break down,1
2090,to fly,"to escape, flee",to fly,to escape or flee,1
2091,to fly away,"to evaporate, exhale",to fly away,to evaporate or exhale,1
2092,to fly away,to feel pleasure,to fly away,to feel pleasure,1
2093,to fly away,to go overripe,to fly away,to go overripe,1
2094,"to freeze, be cold",to fear,to freeze or be cold,to fear,2
2095,"to freeze, be cold","to worry, be agitated",to freeze or be cold,to worry or be agitated,1
2096,to gamble,to risk,to gamble,to risk,1
2097,to get dry,to feel thirsty,to get dry,to feel thirsty,4
2098,to get mouldy (musty),to be angry,to get moldy musty,to be angry,1
2099,to get tired,to grow numb,to get tired,to grow numb,1
2100,to get wet,"to bother, pester",to get wet,to bother or pester,1
2101,"to get, obtain","can, to be able",to get or obtain,can or to be able,3
2102,"to get, obtain",must,to get or obtain,must,3
2103,"to get, obtain",to become infected,to get or obtain,to become infected,17
2104,"to get, obtain",to contain,to get or obtain,to contain,4
2105,"to get, obtain",to manage to do smth,to get or obtain,to manage to do ,1
2106,"to get, obtain",to receive visitors,to get or obtain,to receive visitors,5
2107,"to get, obtain",to wait,to get or obtain,to wait,1
2108,"to get, obtain",to win,to get or obtain,to win,5
2109,to give,to let,to give,to let,20
2110,to give,to marry off (a daughter),to give,to marry off a daughter,2
2111,to give,to sell,to give,to sell,1
2112,to give,to throw,to give,to throw,1
2113,to give birth,to deceive,to give birth,to deceive,1
2114,to gnaw,"to carp, find faults",to gnaw,to carp or find faults,2
2115,to gnaw,to cause moral suffering,to gnaw,to cause moral suffering,17
2116,to go after smb.,next,to go after ,next,2
2117,to go after smb.,to act according to,to go after ,to act according to,35
2118,to go after smb.,to agree,to go after ,to agree,1
2119,to go after smb.,to be adherent,to go after ,to be adherent,5
2120,to go after smb.,to be alike,to go after ,to be alike,14
2121,to go after smb.,to copulate,to go after ,to copulate,1
2122,to go after smb.,to follow logically,to go after ,to follow logically,9
2123,to go after smb.,"to help, aid",to go after ,to help or aid,1
2124,to go after smb.,to read,to go after ,to read,1
2125,to go after smb.,to result in,to go after ,to result in,1
2126,to go after smb.,"to watch, look after",to go after ,to watch or look after,8
2127,to go around,to deceive,to go around,to deceive,2
2128,to go around,to defend,to go around,to defend,1
2129,to go away,to die,to go away,to die,17
2130,to go away,to disappear,to go away,to disappear,3
2131,to go away,to fall down,to go away,to fall down,1
2132,to go away,to marry,to go away,to marry,1
2133,to go down,to appoint (to a position),to go down,to appoint to a position,1
2134,to go down,to become decrepit,to go down,to become decrepit,2
2135,to go down,to begin,to go down,to begin,5
2136,to go down,to begin (tr.),to go down,to begin ,1
2137,to go down,to die,to go down,to die,1
2138,to go down,"to fall (of rain, snow)",to go down,to fall of rain or snow,2
2139,to go down,to get off a vehicle,to go down,to get off a vehicle,8
2140,to go down,to go downstream,to go down,to go downstream,1
2141,to go down,"to humble, to abase",to go down,to humble or to abase,2
2142,to go down,to lack,to go down,to lack,1
2143,to go down,to set (of heavenly bodies),to go down,to set of heavenly bodies,6
2144,to go down,to spoil (intr.),to go down,to spoil in,2
2145,to go down,to stop doing smth.,to go down,to stop doing ,1
2146,to go mad,to be angry,to go mad,to be angry,3
2147,to go out,"to appear, emerge",to go out,to appear or emerge,3
2148,to go out,to disappear,to go out,to disappear,1
2149,to go out,to dislocate (of a joint),to go out,to dislocate of a joint,2
2150,to go out,to earth up (plants),to go out,to earth up plants,1
2151,to go out,"to fade, lose colour",to go out,to fade or lose color,2
2152,to go out,"to fall (of rain, snow)",to go out,to fall of rain or snow,2
2153,to go out,to follow logically,to go out,to follow logically,3
2154,to go out,to get immunity,to go out,to get immunity,1
2155,to go out,to go up,to go out,to go up,6
2156,to go out,to have relationships (romantic or sexual),to go out,to have relationships romantic or sexual,2
2157,to go out,to result in,to go out,to result in,5
2158,to go out,to rise (of heavenly bodies),to go out,to rise of heavenly bodies,6
2159,to go out,to run out (of smth),to go out,to run out of ,4
2160,to go up,difficult,to go up,difficult,1
2161,to go up,to begin (tr.),to go up,to begin ,2
2162,to go up,to get on a vehicle,to go up,to get on a vehicle,5
2163,to go up,to rise (of heavenly bodies),to go up,to rise of heavenly bodies,3
2164,to go up,to stand up,to go up,to stand up,5
2165,to go up,to stop (intr.),to go up,to stop in,1
2166,to go up,to succeed,to go up,to succeed,2
2167,to go upstream,to repatriate,to go upstream,to repatriate,1
2168,to go upstream,to struggle,to go upstream,to struggle,1
2169,"to go, walk",to act,to go or walk,to act,1
2170,"to go, walk",to copulate,to go or walk,to copulate,2
2171,"to go, walk","to fall (of rain, snow)",to go or walk,to fall of rain or snow,7
2172,"to go, walk",to find,to go or walk,to find,3
2173,"to go, walk",to make a move (in a game),to go or walk,to make a move in a game,2
2174,"to go, walk",to suit (of clothes),to go or walk,to suit of clothes,1
2175,"to grasp, seize",inclination to smth,to grasp or seize,inclination to ,1
2176,"to grasp, seize",to be enough,to grasp or seize,to be enough,1
2177,"to grasp, seize",to begin (tr.),to grasp or seize,to begin ,1
2178,"to grasp, seize","to care for, look after",to grasp or seize,to care for or look after,1
2179,"to grasp, seize",to do,to grasp or seize,to do,1
2180,"to grasp, seize",to eat,to grasp or seize,to eat,2
2181,"to grasp, seize","to learn, study",to grasp or seize,to learn or study,1
2182,"to grasp, seize","to light, to kindle (the fire)",to grasp or seize,to light or to kindle the fire,1
2183,"to grasp, seize",to steal,to grasp or seize,to steal,5
2184,"to grasp, seize",to understand,to grasp or seize,to understand,41
2185,to greet,to kiss,to greet,to kiss,3
2186,to grow (plants),to rise (of heavenly bodies),to grow plants,to rise of heavenly bodies,3
2187,to guess,to understand,to guess,to understand,1
2188,to hang,to be suspended,to hang,to be suspended,2
2189,to hang,to depend,to hang,to depend,5
2190,to hang,to weigh (intr.),to hang,to weigh in,1
2191,to harness,to force to work,to harness,to force to work,4
2192,to have smell,to indicate something bad,to have smell,to indicate something bad,6
2193,to have smell,to smell bad,to have smell,to smell bad,6
2194,to hear,rumour,to hear,rumor,2
2195,to hear,"to learn, find out",to hear,to learn or find out,1
2196,to hear,"to watch, look after",to hear,to watch or look after,1
2197,to hear,witness,to hear,witness,1
2198,to hear / to listen,to know,to hear  or  to listen,to know,36
2199,to hear / to listen,to obey,to hear  or  to listen,to obey,104
2200,to hear / to listen,to understand,to hear  or  to listen,to understand,32
2201,to heat up,"to beat, hit",to heat up,to beat or hit,3
2202,to heat up,to deceive,to heat up,to deceive,3
2203,to hew,to object,to hew,to object,2
2204,to hide (tr.),"to hug, embrace",to hide ,to hug or embrace,1
2205,to hide (tr.),to steal,to hide ,to steal,4
2206,to hit the target,to guess,to hit the target,to guess,4
2207,to hold (in hands),to build,to hold in hands,to build,3
2208,to hold (in hands),"to coagulate, curdle",to hold in hands,to coagulate or curdle,2
2209,to hold (in hands),to contain,to hold in hands,to contain,7
2210,to hold (in hands),to defend,to hold in hands,to defend,1
2211,to hold (in hands),to have opinion,to hold in hands,to have opinion,6
2212,to hold (in hands),to promise,to hold in hands,to promise,1
2213,to hold (in hands),to suffer from rheumatism,to hold in hands,to suffer from rheumatism,1
2214,to hunt,fighter plane,to hunt,fighter plane,10
2215,to hunt,to flirt,to hunt,to flirt,1
2216,"to inform, let know","to accuse, blame",to inform or let know,to accuse or blame,1
2217,to insert,to meet,to insert,to meet,1
2218,to itch,to be angry,to itch,to be angry,1
2219,to itch,to want,to itch,to want,2
2220,to join together (tr.),poetry,to join together ,poetry,2
2221,to joke,simple,to joke,simple,2
2222,to judge,"to govern, control, rule",to judge,to govern or control or rule,3
2223,to kick,to dig,to kick,to dig,1
2224,to kill,to exhaust,to kill,to exhaust,1
2225,to kill,to extinguish,to kill,to extinguish,1
2226,to kill,to hunt,to kill,to hunt,2
2227,to kiss,to copulate,to kiss,to copulate,1
2228,to kiss,to sting,to kiss,to sting,1
2229,to knock,"to inform, let know",to knock,to inform or let know,3
2230,to knock down,to depress,to knock down,to depress,1
2231,to knock down,to suppress,to knock down,to suppress,1
2232,to know,poetry,to know,poetry,1
2233,to know,to copulate,to know,to copulate,3
2234,to know,to feel,to know,to feel,1
2235,to know,to know how,to know,to know how,15
2236,to know,to practice witchcraft,to know,to practice witchcraft,3
2237,to know,to understand,to know,to understand,9
2238,to know how,"can, to be able",to know how,can or to be able,1
2239,to lead,to cause,to lead,to cause,10
2240,to lead,to drive (the car),to lead,to drive the car,3
2241,to lead,"to govern, control, rule",to lead,to govern or control or rule,8
2242,to lead,to marry,to lead,to marry,2
2243,to lean on/against,to endure,to lean on or against,to endure,2
2244,to leave,to begin,to leave,to begin,1
2245,to leave,to forgive,to leave,to forgive,1
2246,to leave,to let,to leave,to let,8
2247,to leave,to lose,to leave,to lose,1
2248,to leave behind,to win,to leave behind,to win,1
2249,to lengthen,to dilute,to lengthen,to dilute,2
2250,"to let, leave",to stop doing smth.,to let or leave,to stop doing ,1
2251,to lie (posture),to be situated,to lie posture,to be situated,10
2252,to lie (posture),to copulate,to lie posture,to copulate,9
2253,to lie down,to set (of heavenly bodies),to lie down,to set of heavenly bodies,2
2254,"to light, to kindle (the fire)",to be resurrected,to light or to kindle the fire,to be resurrected,1
2255,"to light, to kindle (the fire)",to provoke,to light or to kindle the fire,to provoke,7
2256,"to light, to kindle (the fire)",to shoot,to light or to kindle the fire,to shoot,3
2257,to listen,to keep silent,to listen,to keep silent,1
2258,to listen,"to learn, study",to listen,to learn or study,1
2259,to live,food,to live,food,2
2260,to live,"property, possessions",to live,property or possessions,1
2261,to look,to depend,to look,to depend,1
2262,to look asquint,to disapprove,to look squint,to disapprove,1
2263,to look inside,to understand,to look inside,to understand,1
2264,to lose,to be defeated,to lose,to be defeated,9
2265,to lose,to forget,to lose,to forget,1
2266,to lose one's way,to menstruate,to lose one's way,to menstruate,1
2267,to love,any,to love,any,1
2268,to love,to kiss,to love,to kiss,2
2269,"to lower, put down","to beat, hit",to lower or put down,to beat or hit,1
2270,"to lower, put down","to disgrace, dishonor",to lower or put down,to disgrace or dishonor,2
2271,"to lower, put down",to stop doing smth.,to lower or put down,to stop doing ,1
2272,to make a hole,to grow (plants),to make a hole,to grow plants,1
2273,to make a hole,to rise (of heavenly bodies),to make a hole,to rise of heavenly bodies,1
2274,"to make a mistake, be wrong",to sin,to make a mistake or be wrong,to sin,6
2275,"to make alive, to give life","to cure, treat (medically)",to make alive or to give life,to cure or treat medically,1
2276,"to make alive, to give life","to repaire, to mend",to make alive or to give life,to repair or to mend,1
2277,"to make big, large",to bring up,to make big or large,to bring up,1
2278,"to make common, shared by several people","to inform, let know",to make common or shared by several people,to inform or let know,1
2279,to make deaf,"to stun, to knock out",to make deaf,to stun or to knock out,4
2280,to make empty,to forgive,to make empty,to forgive,1
2281,to make hard,"to learn, study",to make hard,to learn or study,1
2282,to make noise,to quarrel,to make noise,to quarrel,6
2283,to make noise,to speak,to make noise,to speak,4
2284,to make noise,"to worry, be agitated",to make noise,to worry or be agitated,1
2285,to make real,to understand,to make real,to understand,4
2286,to make sausage,to kill,to make sausage,to kill,1
2287,to make scratches,"to draw, paint",to make scratches,to draw or paint,5
2288,to make scratches,to write,to make scratches,to write,3
2289,to make sit,to imprison,to make sit,to imprison,4
2290,to make sit,to marry off (a daughter),to make sit,to marry off a daughter,1
2291,to make sit,"to plant, put (a seed or plant) in the ground",to make sit,to plant or put a seed or plant in the ground,6
2292,to make soft,to persuade,to make soft,to persuade,1
