,meaning1,meaning2,meaning1_clean,meaning2_clean
1930,to come,must,to come,must
1931,to come,to begin,to come,to begin
1932,to come,"to get, obtain",to come,to get or obtain
1933,to come,to happen,to come,to happen
1934,to come,to reach a state,to come,to reach a state
1935,to come,to ripen,to come,to ripen
1936,to come,to think,to come,to think
1937,to conjure,"to charm, to delight",to conjure,to charm or to delight
1938,to contain,to remember,to contain,to remember
1939,to cool down (intr.),to calm down,to cool down ,to calm down
1940,to cool down (intr.),to die,to cool down ,to die
1941,to copulate,to deceive,to copulate,to deceive
1942,to correct,"to cure, treat (medically)",to correct,to cure or treat medically
1943,to cough,to fear,to cough,to fear
1944,to cover,to copulate,to cover,to copulate
1945,to crackle,cartilage,to crackle,cartilage
1946,to crawl,snake,to crawl,snake
1947,to crawl,to be torn,to crawl,to be torn
1948,to croak,to predict misfortune,to croak,to predict misfortune
1949,to cut (tr.),poor,to cut ,poor
1950,to cut (tr.),quick,to cut ,quick
1951,to cut (tr.),spicy,to cut ,spicy
1952,to cut (tr.),to begin (tr.),to cut ,to begin 
1953,to cut (tr.),"to calculate, count",to cut ,to calculate or count
1954,to cut (tr.),to copulate,to cut ,to copulate
1955,to cut (tr.),to cut off relationships,to cut ,to cut off relationships
1956,to cut (tr.),to decide,to cut ,to decide
1957,to cut (tr.),to dilute,to cut ,to dilute
1958,to cut (tr.),to hinder,to cut ,to hinder
1959,to cut (tr.),to kill,to cut ,to kill
1960,to cut (tr.),to stop doing smth.,to cut ,to stop doing 
1961,to cut (tr.),to touch,to cut ,to touch
1962,to cut (tr.),to turn sour,to cut ,to turn sour
1963,to cut (tr.),to understand,to cut ,to understand
1964,to cut (tr.),"to weaken, loosen",to cut ,to weaken or loosen
1965,to decline from the route,to tell lie,to decline from the route,to tell lie
1966,"to decorticate, debark","to skin, flay",to stiff or debark,to skin or flay
1967,to defecate,to slander,to defecate,to slander
1968,to defecate,to waste,to defecate,to waste
1969,to deprive,to steal,to deprive,to steal
1970,"to destroy, annihilate",fighter plane,to destroy or annihilate,fighter plane
1971,"to destroy, annihilate",to blunt,to destroy or annihilate,to blunt
1972,"to destroy, annihilate",to forgive,to destroy or annihilate,to forgive
1973,to die,eclipse,to die,eclipse
1974,to die,paralyzed,to die,paralyzed
1975,to die,to abate (about wind),to die,to abate about wind
1976,to die,to be extinguished (light),to die,to be extinguished light
1977,to die,to fail (of engine),to die,to fail of engine
1978,to die,to grow numb,to die,to grow numb
1979,to die,to set (of heavenly bodies),to die,to set of heavenly bodies
1980,to die,to spoil (intr.),to die,to spoil 
1981,to die,to stop doing smth.,to die,to stop doing 
1982,to die,to want,to die,to want
1983,to dig,to find,to dig,to find
1984,to dig,"to go, walk",to dig,to go or walk
1985,to dig,to kick,to dig,to kick
1986,to dig,to thrust (into),to dig,to thrust into
1987,to dilute,to deceive,to dilute,to deceive
1988,to disappear,to decide,to disappear,to decide
1989,to disappear,to die,to disappear,to die
1990,to disappear,to spoil (intr.),to disappear,to spoil 
1991,to dislocate (of a joint),to go mad,to dislocate of a joint,to go mad
1992,to dissolve in liquid (tr.),to solve (a problem),to dissolve in liquid ,to solve a problem
1993,to divide into several parts,to analyse,to divide into several parts,to analyze
1994,to do,to copulate,to do,to copulate
1995,to do,to cost,to do,to cost
1996,to drag,"to charm, to delight",to drag,to charm or to delight
1997,to drag,to steal,to drag,to steal
1998,to draw water,to imitate,to draw water,to imitate
1999,to drill,pain,to drill,pain
2000,to drink,to smoke (tobacco),to drink,to smoke tobacco
2001,"to drive, to force to move on","to distill, retort",to drive or to force to move on,to distill or retort
2002,"to drive, to force to move on",to drive (the car),to drive or to force to move on,to drive the car
2003,"to drive, to force to move on",to raft timber,to drive or to force to move on,to raft timber
2004,"to drive, to force to move on","to search, to look for",to drive or to force to move on,to search or to look for
2005,"to drive, to force to move on",to tell lie,to drive or to force to move on,to tell lie
2006,to drop (of liquid),"to accuse, blame",to drop of liquid,to accuse or blame
2007,to dye,to boast,to dye,to boast
2008,to eat,to ache,to eat,to ache
2009,to eat,to be fed up with,to eat,to be fed up with
2010,to eat,to consume,to eat,to consume
2011,to eat,to corrode,to eat,to corrode
2012,to eat,"to destroy, annihilate",to eat,to destroy or annihilate
2013,to eat,to think,to eat,to think
2014,to emit smoke,censer,to emit smoke,censer
2015,to emit smoke,to smoke (meat or fish),to emit smoke,to smoke meat or fish
2016,to emit smoke,to smoke (tobacco),to emit smoke,to smoke tobacco
2017,"to encircle, surround",to understand,to encircle or surround,to understand
2018,"to end, finish",to die,to end or finish,to die
2019,"to end, finish",to kill,to end or finish,to kill
2020,to enter,to become infected,to enter,to become infected
2021,to enter,to begin (tr.),to enter,to begin 
2022,to enter,to cost,to enter,to cost
2023,to enter,"to fall (of rain, snow)",to enter,to fall of rain or snow
2024,to enter,to flow into,to enter,to flow into
2025,to enter,to shrink (of textile),to enter,to shrink of textile
2026,to extinguish,to close one's eyes,to extinguish,to close one's eyes
2027,to extinguish,"to destroy, annihilate",to extinguish,to destroy or annihilate
2028,to fall asleep,to be extinguished (light),to fall asleep,to be extinguished light
2029,to fall asleep,to die,to fall asleep,to die
2030,to fall asleep,to go out (of fire),to fall asleep,to go out of fire
2031,to fall asleep,to grow numb,to fall asleep,to grow numb
2032,to fall asleep,to ice over,to fall asleep,to ice over
2033,to fall down,autumn,to fall down,autumn
2034,to fall down,cheap,to fall down,cheap
2035,to fall down,to attack,to fall down,to attack
2036,to fall down,to be born,to fall down,to be born
2037,to fall down,to be keen of,to fall down,to be keen of
2038,to fall down,to be related to,to fall down,to be related to
2039,to fall down,to be solved,to fall down,to be solved
2040,to fall down,to begin (tr.),to fall down,to begin 
2041,to fall down,to coincide,to fall down,to coincide
2042,to fall down,to come,to fall down,to come
2043,to fall down,to decrease drastically,to fall down,to decrease drastically
2044,to fall down,to die,to fall down,to die
2045,to fall down,"to end, finish",to fall down,to end or finish
2046,to fall down,"to fade, lose colour",to fall down,to fade or lose color
2047,to fall down,to fail,to fall down,to fail
2048,to fall down,"to fall (of rain, snow)",to fall down,to fall of rain or snow
2049,to fall down,to fall to one's lot,to fall down,to fall to one's lot
2050,to fall down,to flow into,to fall down,to flow into
2051,to fall down,to happen,to fall down,to happen
2052,to fall down,"to lie prostrate, as in reverence",to fall down,to lie prostrate or as in reverence
2053,to fall down,to meet accidentally,to fall down,to meet accidentally
2054,to fall down,to set (of heavenly bodies),to fall down,to set of heavenly bodies
2055,to fall down,to strike (of lightning),to fall down,to strike of lightning
2056,to fall down,to suit (of clothes),to fall down,to suit of clothes
2057,to fear,to turn sour,to fear,to turn sour
2058,to feed,to bribe,to feed,to bribe
2059,to feed,to bring up,to feed,to bring up
2060,to feed,"to gas (a car), to refuel",to feed,to gas a car or to refuel
2061,to feel,to feel sorry,to feel,to feel sorry
2062,to feel,to hear / to listen,to feel,to hear  or  to listen
2063,to feel,to perceive smell,to feel,to perceive smell
2064,to feel pity,to be greedy,to feel pity,to be greedy
2065,to feel pity,to regret,to feel pity,to regret
2066,to feel pity,"to spare, to economize",to feel pity,to spare or to economize
2067,to fence,to defend,to fence,to defend
2068,"to fight, scuffle",to copulate,to fight or scuffle,to copulate
2069,to fill (tr.),pregnant,to fill ,pregnant
2070,to fill (tr.),to become infected,to fill ,to become infected
2071,to fill (tr.),to carry out,to fill ,to carry out
2072,to fill (tr.),"to end, finish",to fill ,to end or finish
2073,to find,to give birth,to find,to give birth
2074,to find,to have opinion,to find,to have opinion
2075,to find,"to learn, find out",to find,to learn or find out
2076,to find,to meet,to find,to meet
2077,to find,to reach,to find,to reach
2078,to fish,to flirt,to fish,to flirt
2079,to float,cheerful mood,to float,cheerful mood
2080,to float,"to move smoothly, gently",to float,to move smoothly or gently
2081,to float,to pass (of time),to float,to pass of time
2082,to float,"to recall, recollect",to float,to recall or recollect
2083,to float,to sway,to float,to sway
2084,to flow,electricity,to flow,electricity
2085,to flow,meteor shower,to flow,meteor shower
2086,to flow,to crawl,to flow,to crawl
2087,to flow,to pass (of time),to flow,to pass of time
2088,to fly,quick,to fly,quick
2089,to fly,to break down,to fly,to break down
2090,to fly,"to escape, flee",to fly,to escape or flee
2091,to fly away,"to evaporate, exhale",to fly away,to evaporate or exhale
2092,to fly away,to feel pleasure,to fly away,to feel pleasure
2093,to fly away,to go overripe,to fly away,to go overripe
2094,"to freeze, be cold",to fear,to freeze or be cold,to fear
2095,"to freeze, be cold","to worry, be agitated",to freeze or be cold,to worry or be agitated
2096,to gamble,to risk,to gamble,to risk
2097,to get dry,to feel thirsty,to get dry,to feel thirsty
2098,to get mouldy (musty),to be angry,to get moldy musty,to be angry
2099,to get tired,to grow numb,to get tired,to grow numb
2100,to get wet,"to bother, pester",to get wet,to bother or pester
2101,"to get, obtain","can, to be able",to get or obtain,can or to be able
2102,"to get, obtain",must,to get or obtain,must
2103,"to get, obtain",to become infected,to get or obtain,to become infected
2104,"to get, obtain",to contain,to get or obtain,to contain
2105,"to get, obtain",to manage to do smth,to get or obtain,to manage to do 
2106,"to get, obtain",to receive visitors,to get or obtain,to receive visitors
2107,"to get, obtain",to wait,to get or obtain,to wait
2108,"to get, obtain",to win,to get or obtain,to win
2109,to give,to let,to give,to let
2110,to give,to marry off (a daughter),to give,to marry off a daughter
2111,to give,to sell,to give,to sell
2112,to give,to throw,to give,to throw
2113,to give birth,to deceive,to give birth,to deceive
2114,to gnaw,"to carp, find faults",to gnaw,to carp or find faults
2115,to gnaw,to cause moral suffering,to gnaw,to cause moral suffering
2116,to go after smb.,next,to go after ,next
2117,to go after smb.,to act according to,to go after ,to act according to
2118,to go after smb.,to agree,to go after ,to agree
2119,to go after smb.,to be adherent,to go after ,to be adherent
2120,to go after smb.,to be alike,to go after ,to be alike
2121,to go after smb.,to copulate,to go after ,to copulate
2122,to go after smb.,to follow logically,to go after ,to follow logically
2123,to go after smb.,"to help, aid",to go after ,to help or aid
2124,to go after smb.,to read,to go after ,to read
2125,to go after smb.,to result in,to go after ,to result in
2126,to go after smb.,"to watch, look after",to go after ,to watch or look after
2127,to go around,to deceive,to go around,to deceive
2128,to go around,to defend,to go around,to defend
2129,to go away,to die,to go away,to die
2130,to go away,to disappear,to go away,to disappear
2131,to go away,to fall down,to go away,to fall down
2132,to go away,to marry,to go away,to marry
2133,to go down,to appoint (to a position),to go down,to appoint to a position
2134,to go down,to become decrepit,to go down,to become decrepit
2135,to go down,to begin,to go down,to begin
2136,to go down,to begin (tr.),to go down,to begin 
2137,to go down,to die,to go down,to die
2138,to go down,"to fall (of rain, snow)",to go down,to fall of rain or snow
2139,to go down,to get off a vehicle,to go down,to get off a vehicle
2140,to go down,to go downstream,to go down,to go downstream
2141,to go down,"to humble, to abase",to go down,to humble or to abase
2142,to go down,to lack,to go down,to lack
2143,to go down,to set (of heavenly bodies),to go down,to set of heavenly bodies
2144,to go down,to spoil (intr.),to go down,to spoil 
2145,to go down,to stop doing smth.,to go down,to stop doing 
2146,to go mad,to be angry,to go mad,to be angry
2147,to go out,"to appear, emerge",to go out,to appear or emerge
2148,to go out,to disappear,to go out,to disappear
2149,to go out,to dislocate (of a joint),to go out,to dislocate of a joint
2150,to go out,to earth up (plants),to go out,to earth up plants
2151,to go out,"to fade, lose colour",to go out,to fade or lose color
2152,to go out,"to fall (of rain, snow)",to go out,to fall of rain or snow
2153,to go out,to follow logically,to go out,to follow logically
2154,to go out,to get immunity,to go out,to get immunity
2155,to go out,to go up,to go out,to go up
2156,to go out,to have relationships (romantic or sexual),to go out,to have relationships romantic or sexual
2157,to go out,to result in,to go out,to result in
2158,to go out,to rise (of heavenly bodies),to go out,to rise of heavenly bodies
2159,to go out,to run out (of smth),to go out,to run out of 
2160,to go up,difficult,to go up,difficult
2161,to go up,to begin (tr.),to go up,to begin 
2162,to go up,to get on a vehicle,to go up,to get on a vehicle
2163,to go up,to rise (of heavenly bodies),to go up,to rise of heavenly bodies
2164,to go up,to stand up,to go up,to stand up
2165,to go up,to stop (intr.),to go up,to stop 
2166,to go up,to succeed,to go up,to succeed
2167,to go upstream,to repatriate,to go upstream,to repatriate
2168,to go upstream,to struggle,to go upstream,to struggle
2169,"to go, walk",to act,to go or walk,to act
2170,"to go, walk",to copulate,to go or walk,to copulate
2171,"to go, walk","to fall (of rain, snow)",to go or walk,to fall of rain or snow
2172,"to go, walk",to find,to go or walk,to find
2173,"to go, walk",to make a move (in a game),to go or walk,to make a move in a game
2174,"to go, walk",to suit (of clothes),to go or walk,to suit of clothes
2175,"to grasp, seize",inclination to smth,to grasp or seize,inclination to 
2176,"to grasp, seize",to be enough,to grasp or seize,to be enough
2177,"to grasp, seize",to begin (tr.),to grasp or seize,to begin 
2178,"to grasp, seize","to care for, look after",to grasp or seize,to care for or look after
2179,"to grasp, seize",to do,to grasp or seize,to do
2180,"to grasp, seize",to eat,to grasp or seize,to eat
2181,"to grasp, seize","to learn, study",to grasp or seize,to learn or study
2182,"to grasp, seize","to light, to kindle (the fire)",to grasp or seize,to light or to kindle the fire
2183,"to grasp, seize",to steal,to grasp or seize,to steal
2184,"to grasp, seize",to understand,to grasp or seize,to understand
2185,to greet,to kiss,to greet,to kiss
2186,to grow (plants),to rise (of heavenly bodies),to grow plants,to rise of heavenly bodies
2187,to guess,to understand,to guess,to understand
2188,to hang,to be suspended,to hang,to be suspended
2189,to hang,to depend,to hang,to depend
2190,to hang,to weigh (intr.),to hang,to weigh 
2191,to harness,to force to work,to harness,to force to work
2192,to have smell,to indicate something bad,to have smell,to indicate something bad
2193,to have smell,to smell bad,to have smell,to smell bad
2194,to hear,rumour,to hear,rumor
2195,to hear,"to learn, find out",to hear,to learn or find out
2196,to hear,"to watch, look after",to hear,to watch or look after
2197,to hear,witness,to hear,witness
2198,to hear / to listen,to know,to hear  or  to listen,to know
2199,to hear / to listen,to obey,to hear  or  to listen,to obey
2200,to hear / to listen,to understand,to hear  or  to listen,to understand
2201,to heat up,"to beat, hit",to heat up,to beat or hit
2202,to heat up,to deceive,to heat up,to deceive
2203,to hew,to object,to hew,to object
2204,to hide (tr.),"to hug, embrace",to hide ,to hug or embrace
2205,to hide (tr.),to steal,to hide ,to steal
2206,to hit the target,to guess,to hit the target,to guess
2207,to hold (in hands),to build,to hold in hands,to build
2208,to hold (in hands),"to coagulate, curdle",to hold in hands,to coagulate or curdle
2209,to hold (in hands),to contain,to hold in hands,to contain
2210,to hold (in hands),to defend,to hold in hands,to defend
2211,to hold (in hands),to have opinion,to hold in hands,to have opinion
2212,to hold (in hands),to promise,to hold in hands,to promise
2213,to hold (in hands),to suffer from rheumatism,to hold in hands,to suffer from rheumatism
2214,to hunt,fighter plane,to hunt,fighter plane
2215,to hunt,to flirt,to hunt,to flirt
2216,"to inform, let know","to accuse, blame",to inform or let know,to accuse or blame
2217,to insert,to meet,to insert,to meet
2218,to itch,to be angry,to itch,to be angry
2219,to itch,to want,to itch,to want
2220,to join together (tr.),poetry,to join together ,poetry
2221,to joke,simple,to joke,simple
2222,to judge,"to govern, control, rule",to judge,to govern or control or rule
2223,to kick,to dig,to kick,to dig
2224,to kill,to exhaust,to kill,to exhaust
2225,to kill,to extinguish,to kill,to extinguish
2226,to kill,to hunt,to kill,to hunt
2227,to kiss,to copulate,to kiss,to copulate
2228,to kiss,to sting,to kiss,to sting
2229,to knock,"to inform, let know",to knock,to inform or let know
2230,to knock down,to depress,to knock down,to depress
2231,to knock down,to suppress,to knock down,to suppress
2232,to know,poetry,to know,poetry
2233,to know,to copulate,to know,to copulate
2234,to know,to feel,to know,to feel
2235,to know,to know how,to know,to know how
2236,to know,to practice witchcraft,to know,to practice witchcraft
2237,to know,to understand,to know,to understand
2238,to know how,"can, to be able",to know how,can or to be able
2239,to lead,to cause,to lead,to cause
2240,to lead,to drive (the car),to lead,to drive the car
2241,to lead,"to govern, control, rule",to lead,to govern or control or rule
2242,to lead,to marry,to lead,to marry
2243,to lean on/against,to endure,to lean on or against,to endure
2244,to leave,to begin,to leave,to begin
2245,to leave,to forgive,to leave,to forgive
2246,to leave,to let,to leave,to let
2247,to leave,to lose,to leave,to lose
2248,to leave behind,to win,to leave behind,to win
2249,to lengthen,to dilute,to lengthen,to dilute
2250,"to let, leave",to stop doing smth.,to let or leave,to stop doing 
2251,to lie (posture),to be situated,to lie posture,to be situated
2252,to lie (posture),to copulate,to lie posture,to copulate
2253,to lie down,to set (of heavenly bodies),to lie down,to set of heavenly bodies
2254,"to light, to kindle (the fire)",to be resurrected,to light or to kindle the fire,to be resurrected
2255,"to light, to kindle (the fire)",to provoke,to light or to kindle the fire,to provoke
2256,"to light, to kindle (the fire)",to shoot,to light or to kindle the fire,to shoot
2257,to listen,to keep silent,to listen,to keep silent
2258,to listen,"to learn, study",to listen,to learn or study
2259,to live,food,to live,food
2260,to live,"property, possessions",to live,property or possessions
2261,to look,to depend,to look,to depend
2262,to look asquint,to disapprove,to look squint,to disapprove
2263,to look inside,to understand,to look inside,to understand
2264,to lose,to be defeated,to lose,to be defeated
2265,to lose,to forget,to lose,to forget
2266,to lose one's way,to menstruate,to lose one's way,to menstruate
2267,to love,any,to love,any
2268,to love,to kiss,to love,to kiss
2269,"to lower, put down","to beat, hit",to lower or put down,to beat or hit
2270,"to lower, put down","to disgrace, dishonor",to lower or put down,to disgrace or dishonor
2271,"to lower, put down",to stop doing smth.,to lower or put down,to stop doing 
2272,to make a hole,to grow (plants),to make a hole,to grow plants
2273,to make a hole,to rise (of heavenly bodies),to make a hole,to rise of heavenly bodies
2274,"to make a mistake, be wrong",to sin,to make a mistake or be wrong,to sin
2275,"to make alive, to give life","to cure, treat (medically)",to make alive or to give life,to cure or treat medically
2276,"to make alive, to give life","to repaire, to mend",to make alive or to give life,to repair or to mend
2277,"to make big, large",to bring up,to make big or large,to bring up
2278,"to make common, shared by several people","to inform, let know",to make common or shared by several people,to inform or let know
2279,to make deaf,"to stun, to knock out",to make deaf,to stun or to knock out
2280,to make empty,to forgive,to make empty,to forgive
2281,to make hard,"to learn, study",to make hard,to learn or study
2282,to make noise,to quarrel,to make noise,to quarrel
2283,to make noise,to speak,to make noise,to speak
2284,to make noise,"to worry, be agitated",to make noise,to worry or be agitated
2285,to make real,to understand,to make real,to understand
2286,to make sausage,to kill,to make sausage,to kill
2287,to make scratches,"to draw, paint",to make scratches,to draw or paint
2288,to make scratches,to write,to make scratches,to write
2289,to make sit,to imprison,to make sit,to imprison
2290,to make sit,to marry off (a daughter),to make sit,to marry off a daughter
2291,to make sit,"to plant, put (a seed or plant) in the ground",to make sit,to plant or put a seed or plant in the ground
2292,to make soft,to persuade,to make soft,to persuade
2293,"to make, create",to give birth,to make or create,to give birth
2294,to meet,to happen,to meet,to happen
2295,to meet (each other),to quarrel,to meet each other,to quarrel
2296,to milk,to derive profit,to milk,to derive profit
2297,to milk,to extort (money from smb.),to milk,to extort money from 
2298,to milk,to spawn,to milk,to spawn
2299,to mill,"to destroy, annihilate",to mill,to destroy or annihilate
2300,to mill,to eat,to mill,to eat
2301,to mill,"to learn, study",to mill,to learn or study
2302,to mill,to oppress,to mill,to oppress
2303,to mill,to purr,to mill,to purr
2304,to mill,to talk nonsense,to mill,to talk nonsense
2305,to miss the target,to break deadline,to miss the target,to break deadline
2306,"to mix, stir",to confuse (with),to mix or stir,to confuse with
2307,"to mix, stir",to hinder,to mix or stir,to hinder
2308,"to mix, stir",to involve,to mix or stir,to involve
2309,"to mix, stir",to make disordered,to mix or stir,to make disordered
2310,"to mix, stir","to revolt, rebel",to mix or stir,to revolt or rebel
2311,"to mix, stir",to spoil (tr.),to mix or stir,to spoil 
2312,"to mix, stir",to swim,to mix or stir,to swim
2313,"to mix, stir",to waste,to mix or stir,to waste
2314,"to mix, stir","to worry, be agitated",to mix or stir,to worry or be agitated
2315,to move,to go mad,to move,to go mad
2316,to move,to make a move (in a game),to move,to make a move in a game
2317,to move away,"to destroy, annihilate",to move away,to destroy or annihilate
2318,to move away,to kill,to move away,to kill
2319,to move quickly,to become ready (of food),to move quickly,to become ready of food
2320,to move quickly,"to care for, look after",to move quickly,to care for or look after
2321,"to move, to shift, to transfer",to translate,to move or to shift or to transfer,to translate
2322,to nail,to crucify,to nail,to crucify
2323,to nail,to stare,to nail,to stare
2324,to neigh,to laugh,to neigh,to laugh
2325,to nomadize,to make a move (in a game),to become nomadic,to make a move in a game
2326,to open (tr.),to begin (tr.),to open ,to begin 
2327,to open (tr.),to explain,to open ,to explain
2328,to open (tr.),to find,to open ,to find
2329,to open (tr.),to judge,to open ,to judge
2330,to open (tr.),"to learn, find out",to open ,to learn or find out
2331,to open (tr.),"to occupy, to conquest (territory)",to open ,to occupy or to conquest territory
2332,to open (tr.),to rest,to open ,to rest
2333,to open (tr.),to switch on,to open ,to switch on
2334,to open (tr.),to waste,to open ,to waste
2335,to pass by,"to fade, lose colour",to pass by,to fade or lose color
2336,to pass by,to happen,to pass by,to happen
2337,to pass by,to pass (of time),to pass by,to pass of time
2338,to pass by,to stop feeling pain,to pass by,to stop feeling pain
2339,"to penetrate, get into",to understand,to penetrate or get into,to understand
2340,to perceive smell,to have smell,to perceive smell,to have smell
2341,to perceive smell,to know,to perceive smell,to know
2342,to pierce,to choose,to pierce,to choose
2343,to pierce,to copulate,to pierce,to copulate
2344,to pinch,to offend (tr.),to pinch,to offend 
2345,to pinch,to steal,to pinch,to steal
2346,to play (a musical instrument),to practice witchcraft,to play a musical instrument,to practice witchcraft
2347,to play (intr.),joke,to play ,joke
2348,to play (intr.),to speak,to play ,to speak
2349,to pour,"to beat, hit",to pour,to beat or hit
2350,to practice witchcraft,"to make, create",to practice witchcraft,to make or create
2351,to practice witchcraft,to prevent,to practice witchcraft,to prevent
2352,to pray,mantis,to pray,mantis
2353,"to precede, come first","to go forward, advance",to precede or come first,to go forward or advance
2354,"to present, gift",to deceive,to present or gift,to deceive
2355,"to present, gift",to promise,to present or gift,to promise
2356,to press down,brave,to press down,brave
2357,to press down,"to approach, come near",to press down,to approach or come near
2358,to press down,"to hatch out, brood",to press down,to hatch out or brood
2359,to press down,to hide (tr.),to press down,to hide 
2360,to press down,to make do smth.,to press down,to make do 
2361,to press down,to oppress,to press down,to oppress
2362,to press down,to print,to press down,to print
2363,to press down,"to restrain, control one’s feelings",to press down,to restrain or control  feelings
2364,to press down,to suck,to press down,to suck
2365,to press down,to visit,to press down,to visit
2366,to prop up,"to help, aid",to prop up,to help or aid
2367,to pull hair,"to fight, to be at war",to pull hair,to fight or to be at war
2368,to pull up (a plant),"to destroy, annihilate",to pull up a plant,to destroy or annihilate
2369,"to pull, to draw",to be alike,to pull or to draw,to be alike
2370,"to pull, to draw","to beat, hit",to pull or to draw,to beat or hit
2371,"to pull, to draw",to build,to pull or to draw,to build
2372,"to pull, to draw",to compete (with smn.),to pull or to draw,to compete with sm
2373,"to pull, to draw","to distill, retort",to pull or to draw,to distill or retort
2374,"to pull, to draw",to distort,to pull or to draw,to distort
2375,"to pull, to draw",to draw (an official paper),to pull or to draw,to draw an official paper
2376,"to pull, to draw","to draw, paint",to pull or to draw,to draw or paint
2377,"to pull, to draw",to drink,to pull or to draw,to drink
2378,"to pull, to draw",to endure,to pull or to draw,to endure
2379,"to pull, to draw","to get a cramp, spasm",to pull or to draw,to get a cramp or spasm
2380,"to pull, to draw","to govern, control, rule",to pull or to draw,to govern or control or rule
2381,"to pull, to draw",to last,to pull or to draw,to last
2382,"to pull, to draw",to make a move (in a game),to pull or to draw,to make a move in a game
2383,"to pull, to draw",to milk,to pull or to draw,to milk
2384,"to pull, to draw",to row (with oars),to pull or to draw,to row with oars
2385,"to pull, to draw",to shrink (of textile),to pull or to draw,to shrink of textile
2386,"to pull, to draw","to slow, linger",to pull or to draw,to slow or linger
2387,"to pull, to draw","to smear, anoint",to pull or to draw,to smear or anoint
2388,"to pull, to draw",to smoke (tobacco),to pull or to draw,to smoke tobacco
2389,"to pull, to draw",to thresh (grain),to pull or to draw,to thresh grain
2390,"to pull, to draw",to torture,to pull or to draw,to torture
2391,to pursue,"to care for, look after",to pursue,to care for or look after
2392,to push,to bribe,to push,to bribe
2393,to put,to bake,to put,to bake
2394,to put,to build,to put,to build
2395,to put,to bury,to put,to bury
2396,to put,"to castrate, geld",to put,to castrate or geld
2397,to put,to decide,to put,to decide
2398,to put,to defecate,to put,to defecate
2399,to put,"to establish, found",to put,to establish or found
2400,to put,to give birth,to put,to give birth
2401,to put,to have opinion,to put,to have opinion
2402,to put,to leave,to put,to leave
2403,to put,"to let grow (of beard, moustaches, hairs)",to put,to let grow of beard or mustaches or hairs
2404,to put into,to bribe,to put into,to bribe
2405,to put into,to eat,to put into,to eat
2406,to put into the ground,to bury,to put into the ground,to bury
2407,to put out,to subtract,to put out,to subtract
2408,to put out,to tell,to put out,to tell
2409,to put shoes on,to deceive,to put shoes on,to deceive
2410,to put together,to reconcile,to put together,to reconcile
2411,"to raise, lift (tr.)",pregnant,to raise or lift ,pregnant
2412,"to raise, lift (tr.)",to abolish,to raise or lift ,to abolish
2413,"to raise, lift (tr.)",to awaken,to raise or lift ,to awaken
2414,"to raise, lift (tr.)",to begin (tr.),to raise or lift ,to begin 
2415,"to raise, lift (tr.)",to bring into discussion,to raise or lift ,to bring into discussion
2416,"to raise, lift (tr.)",to bring up,to raise or lift ,to bring up
2417,"to raise, lift (tr.)",to build,to raise or lift ,to build
2418,"to raise, lift (tr.)","to discharge, dismiss",to raise or lift ,to discharge or dismiss
2419,"to raise, lift (tr.)","to end, finish",to raise or lift ,to end or finish
2420,"to raise, lift (tr.)",to feel sick,to raise or lift ,to feel sick
2421,"to raise, lift (tr.)","to grasp, seize",to raise or lift ,to grasp or seize
2422,"to raise, lift (tr.)",to plough,to raise or lift ,to plow
2423,"to raise, lift (tr.)",to praise,to raise or lift ,to praise
2424,"to raise, lift (tr.)","to present, gift",to raise or lift ,to present or gift
2425,"to raise, lift (tr.)",to record,to raise or lift ,to record
2426,to reach,"can, to be able",to reach,can or to be able
2427,to reach,must,to reach,must
2428,to reach,to be enough,to reach,to be enough
2429,to reach,to become ready (of food),to reach,to become ready of food
2430,to reach,"to get, obtain",to reach,to get or obtain
2431,to reach,to mature,to reach,to mature
2432,to reach,to ripen,to reach,to ripen
2433,to read,to scold,to read,to scold
2434,to refuse,"to hate, to dislike",to refuse,to hate or to dislike
2435,to rein in,"to restrain, control one’s feelings",to rein in,to restrain or control  feelings
2436,"to remain, stay",corpse,to remain or stay,corpse
2437,"to remain, stay",to stop doing smth.,to remain or stay,to stop doing 
2438,to remind,to be alike,to remind,to be alike
2439,to repeat,"to learn, study",to repeat,to learn or study
2440,to repeat,to tell,to repeat,to tell
2441,to respect,"to treat, regale",to respect,to treat or regale
2442,to rest,to die,to rest,to die
2443,to rest,to stop doing smth.,to rest,to stop doing 
2444,to result in,child (son or daughter),to result in,child son or daughter
2445,to return (intr.),to become,to return ,to become
2446,to return (intr.),to visit,to return ,to visit
2447,to return (tr.),to answer,to return ,to answer
2448,to revere,to keep the fast,to revere,to keep the fast
2449,"to ride (e.g., a horse)",to copulate,to ride  or a horse,to copulate
2450,to ripen,ready,to ripen,ready
2451,to rise (of heavenly bodies),east,to rise of heavenly bodies,east
2452,to rivet,to work carelessly,to rivet,to work carelessly
2453,to rotate (tr.),to ache,to rotate ,to ache
2454,to rotate (tr.),to dislocate (of a joint),to rotate ,to dislocate of a joint
2455,to rotate (tr.),to torture,to rotate ,to torture
2456,to row (with oars),to be sleepy,to row with oars,to be sleepy
2457,to row (with oars),to fly,to row with oars,to fly
2458,to rub,to wash (clothes),to rub,to wash clothes
2459,to run,to defecate,to run,to defecate
2460,to run,to happen,to run,to happen
2461,to run,to result in,to run,to result in
2462,to run out (of smth),"to charm, to delight",to run out of ,to charm or to delight
2463,to sail,to drive (the car),to sail,to drive the car
